Neighborhood,Units,YearBuilt,SqFt,Borough,ValuePerSqFt
UPPER EAST SIDE (59-79),16,1925,58566,Manhattan,200.99
UPPER EAST SIDE (59-79),68,1901,85219,Manhattan,215.05
UPPER EAST SIDE (59-79),15,1910,24508,Manhattan,203.81
UPPER EAST SIDE (59-79),66,1925,185696,Manhattan,229.57
UPPER EAST SIDE (59-79),18,1951,56729,Manhattan,301.15
UPPER EAST SIDE (59-79),33,1929,95425,Manhattan,206.85
UPPER EAST SIDE (59-79),27,1934,25652,Manhattan,203.8
UPPER EAST SIDE (59-79),35,1941,77739,Manhattan,197.79
UPPER EAST SIDE (59-79),46,1941,62196,Manhattan,182.97
UPPER EAST SIDE (59-79),19,1941,43682,Manhattan,197.79
UPPER EAST SIDE (59-79),84,1955,96152,Manhattan,181.48
UPPER EAST SIDE (59-79),12,1927,56415,Manhattan,215.05
UPPER EAST SIDE (59-79),48,1926,123994,Manhattan,264.77
UPPER EAST SIDE (59-79),62,1928,273875,Manhattan,231.57
UPPER EAST SIDE (59-79),48,1928,92781,Manhattan,153.35
UPPER EAST SIDE (59-79),16,1986,42830,Manhattan,218.79
UPPER EAST SIDE (59-79),97,1950,153046,Manhattan,210.2
UPPER EAST SIDE (59-79),72,1912,82280,Manhattan,167.48
UPPER EAST SIDE (59-79),6,1912,6345,Manhattan,167.53
UPPER EAST SIDE (59-79),15,1928,24277,Manhattan,242.04
UPPER EAST SIDE (59-79),30,1982,42054,Manhattan,244.69
UPPER EAST SIDE (59-79),12,1910,9445,Manhattan,209.32
UPPER EAST SIDE (59-79),111,1958,176897,Manhattan,215.6
UPPER EAST SIDE (59-79),13,1910,14977,Manhattan,209.79
UPPER EAST SIDE (59-79),44,1998,158497,Manhattan,259.56
UPPER EAST SIDE (59-79),166,1963,165925,Manhattan,228.74
UPPER EAST SIDE (59-79),27,1912,50302,Manhattan,250.61
UPPER EAST SIDE (59-79),48,1915,100093,Manhattan,177.48
UPPER EAST SIDE (59-79),12,1915,4777,Manhattan,187.67
UPPER EAST SIDE (59-79),157,1959,204524,Manhattan,228.74
UPPER EAST SIDE (59-79),74,1960,104981,Manhattan,164.77
UPPER EAST SIDE (59-79),86,1927,128842,Manhattan,210
UPPER EAST SIDE (59-79),200,1987,216171,Manhattan,276.24
UPPER EAST SIDE (59-79),52,1962,90629,Manhattan,164.77
UPPER EAST SIDE (59-79),93,2000,180846,Manhattan,267.02
UPPER EAST SIDE (59-79),164,1965,129320,Manhattan,216.74
UPPER EAST SIDE (59-79),76,1969,106669,Manhattan,229.89
UPPER EAST SIDE (59-79),97,1986,165624,Manhattan,249.17
UPPER EAST SIDE (59-79),21,1982,34906,Manhattan,247.98
UPPER EAST SIDE (59-79),138,1924,108820,Manhattan,172.62
UPPER EAST SIDE (59-79),19,1986,41754,Manhattan,225.94
UPPER EAST SIDE (59-79),55,1929,117892,Manhattan,189.11
UPPER EAST SIDE (59-79),32,1925,53255,Manhattan,197.78
UPPER EAST SIDE (59-79),81,1961,123370,Manhattan,191.62
UPPER EAST SIDE (59-79),30,1925,45621,Manhattan,197.78
UPPER EAST SIDE (59-79),73,1996,155731,Manhattan,255.88
UPPER EAST SIDE (59-79),38,1920,55758,Manhattan,177.28
UPPER EAST SIDE (59-79),20,1999,68979,Manhattan,234.32
UPPER EAST SIDE (59-79),54,1942,79883,Manhattan,208.02
UPPER EAST SIDE (59-79),34,1927,54967,Manhattan,157.86
UPPER EAST SIDE (59-79),71,2000,165787,Manhattan,255.88
UPPER EAST SIDE (59-79),57,1942,87546,Manhattan,153.36
UPPER EAST SIDE (59-79),66,1985,97000,Manhattan,243.96
UPPER EAST SIDE (59-79),14,1900,9285,Manhattan,176.2
UPPER EAST SIDE (59-79),137,1965,102271,Manhattan,217.55
UPPER EAST SIDE (59-79),62,2003,82086,Manhattan,223.19
UPPER EAST SIDE (59-79),42,2006,37492,Manhattan,109.97
UPPER EAST SIDE (59-79),219,1986,254167,Manhattan,244.83
UPPER EAST SIDE (59-79),88,1963,124765,Manhattan,216.74
UPPER EAST SIDE (59-79),295,1987,318183,Manhattan,250.04
UPPER EAST SIDE (59-79),287,1978,307730,Manhattan,244.83
UPPER EAST SIDE (59-79),578,1951,925645,Manhattan,161.74
UPPER EAST SIDE (59-79),283,1991,408657,Manhattan,274.87
UPPER EAST SIDE (59-79),204,1957,206511,Manhattan,201
UPPER EAST SIDE (59-79),16,1900,9237,Manhattan,253.44
UPPER EAST SIDE (59-79),88,1957,89223,Manhattan,181.49
UPPER EAST SIDE (59-79),77,2007,208325,Manhattan,285.86
UPPER EAST SIDE (59-79),295,1957,239536,Manhattan,191.62
UPPER EAST SIDE (59-79),30,1930,18869,Manhattan,208.54
UPPER EAST SIDE (59-79),218,1931,233483,Manhattan,225.92
UPPER EAST SIDE (59-79),157,1986,112099,Manhattan,243.7
UPPER EAST SIDE (59-79),110,1986,112573,Manhattan,243.71
UPPER EAST SIDE (59-79),93,1977,66688,Manhattan,172.61
UPPER EAST SIDE (59-79),45,2005,28035,Manhattan,230.43
UPPER EAST SIDE (59-79),306,1965,504238,Manhattan,231.57
UPPER EAST SIDE (59-79),127,1987,149981,Manhattan,249.17
UPPER EAST SIDE (59-79),56,1910,30899,Manhattan,197.81
UPPER EAST SIDE (59-79),204,1956,203938,Manhattan,216.74
UPPER EAST SIDE (59-79),20,1984,22283,Manhattan,215.64
UPPER EAST SIDE (59-79),198,1963,206278,Manhattan,180.3
UPPER EAST SIDE (59-79),284,1961,277477,Manhattan,195.41
UPPER EAST SIDE (59-79),36,1988,70776,Manhattan,217.77
UPPER EAST SIDE (59-79),75,1996,125555,Manhattan,222.38
UPPER EAST SIDE (59-79),13,2005,33133,Manhattan,248.66
UPPER EAST SIDE (59-79),121,1957,119227,Manhattan,161.88
UPPER EAST SIDE (59-79),197,1985,238634,Manhattan,255.88
UPPER EAST SIDE (59-79),149,1987,148594,Manhattan,246.44
UPPER EAST SIDE (59-79),125,1961,91143,Manhattan,181.48
UPPER EAST SIDE (59-79),86,2000,187530,Manhattan,249.29
UPPER EAST SIDE (59-79),32,2008,61517,Manhattan,246.57
UPPER EAST SIDE (59-79),34,2006,72659,Manhattan,237.11
UPPER EAST SIDE (59-79),218,1999,310519,Manhattan,244.94
UPPER EAST SIDE (59-79),54,1985,55942,Manhattan,250.37
UPPER EAST SIDE (59-79),16,1910,12000,Manhattan,163
UPPER EAST SIDE (59-79),238,1958,304510,Manhattan,192.01
UPPER EAST SIDE (59-79),495,1956,456286,Manhattan,158.38
UPPER EAST SIDE (59-79),16,1910,4267,Manhattan,300.91
UPPER EAST SIDE (59-79),158,1959,142140,Manhattan,171.42
UPPER EAST SIDE (59-79),128,2005,246580,Manhattan,219.58
UPPER EAST SIDE (59-79),1,2003,17326,Manhattan,246.51
UPPER EAST SIDE (59-79),216,1984,248163,Manhattan,256.38
UPPER EAST SIDE (59-79),204,1990,322581,Manhattan,232.27
UPPER EAST SIDE (59-79),28,1910,19747,Manhattan,168.84
UPPER EAST SIDE (59-79),251,1962,273109,Manhattan,218.09
UPPER EAST SIDE (59-79),11,2007,33480,Manhattan,251.49
UPPER EAST SIDE (59-79),181,1999,200000,Manhattan,262.57
UPPER EAST SIDE (59-79),26,1900,24989,Manhattan,170.8
UPPER EAST SIDE (59-79),208,1986,205982,Manhattan,240.84
UPPER EAST SIDE (59-79),120,1959,141945,Manhattan,176.49
UPPER EAST SIDE (59-79),36,1910,21145,Manhattan,174.18
UPPER EAST SIDE (59-79),53,2004,108075,Manhattan,232.06
UPPER EAST SIDE (59-79),146,1989,233223,Manhattan,219.58
UPPER EAST SIDE (59-79),343,1985,433098,Manhattan,264.55
UPPER EAST SIDE (59-79),95,1956,50038,Manhattan,173.53
UPPER EAST SIDE (59-79),209,1986,317169,Manhattan,240.84
UPPER EAST SIDE (79-96),126,1973,199534,Manhattan,180.23
UPPER EAST SIDE (79-96),13,1926,50888,Manhattan,226.52
UPPER EAST SIDE (79-96),50,1987,101117,Manhattan,243.96
UPPER EAST SIDE (79-96),31,1981,50384,Manhattan,186.95
UPPER EAST SIDE (79-96),9,1900,18949,Manhattan,176.63
UPPER EAST SIDE (79-96),17,1910,22751,Manhattan,187.86
UPPER EAST SIDE (79-96),23,1929,52387,Manhattan,186.44
UPPER EAST SIDE (79-96),56,1938,83594,Manhattan,240.04
UPPER EAST SIDE (79-96),92,1987,152249,Manhattan,253.07
UPPER EAST SIDE (79-96),54,1928,140295,Manhattan,262.19
UPPER EAST SIDE (79-96),12,1928,3812,Manhattan,229.8
UPPER EAST SIDE (79-96),46,1924,97767,Manhattan,224.68
UPPER EAST SIDE (79-96),18,1986,60288,Manhattan,211.53
UPPER EAST SIDE (79-96),251,1969,487413,Manhattan,141.97
UPPER EAST SIDE (79-96),10,1920,45847,Manhattan,228.02
UPPER EAST SIDE (79-96),29,1980,23232,Manhattan,215.61
UPPER EAST SIDE (79-96),215,1984,299069,Manhattan,211.18
UPPER EAST SIDE (79-96),17,1985,25633,Manhattan,182.81
UPPER EAST SIDE (79-96),94,1985,138096,Manhattan,224.63
UPPER EAST SIDE (79-96),32,1916,48138,Manhattan,170.8
UPPER EAST SIDE (79-96),38,1929,62208,Manhattan,69.97
UPPER EAST SIDE (79-96),30,1981,59931,Manhattan,215.26
UPPER EAST SIDE (79-96),219,1987,285668,Manhattan,218.48
UPPER EAST SIDE (79-96),102,1986,82637,Manhattan,218.3
UPPER EAST SIDE (79-96),16,1920,15101,Manhattan,187.87
UPPER EAST SIDE (79-96),21,2007,63040,Manhattan,217.02
UPPER EAST SIDE (79-96),98,2007,294700,Manhattan,146.49
UPPER EAST SIDE (79-96),65,1939,60335,Manhattan,178.37
UPPER EAST SIDE (79-96),219,1981,346269,Manhattan,226.18
UPPER EAST SIDE (79-96),234,1991,343000,Manhattan,254.08
UPPER EAST SIDE (79-96),42,1928,50156,Manhattan,170.81
UPPER EAST SIDE (79-96),198,1972,295573,Manhattan,169.49
UPPER EAST SIDE (79-96),59,1929,71863,Manhattan,170.8
UPPER EAST SIDE (79-96),104,1962,88510,Manhattan,181.99
UPPER EAST SIDE (79-96),94,2003,199437,Manhattan,222.75
UPPER EAST SIDE (79-96),30,1989,43060,Manhattan,217.12
UPPER EAST SIDE (79-96),59,1928,95534,Manhattan,164.95
UPPER EAST SIDE (79-96),112,1985,104951,Manhattan,206.64
UPPER EAST SIDE (79-96),100,1926,194747,Manhattan,230.56
UPPER EAST SIDE (79-96),147,1963,175375,Manhattan,169.49
UPPER EAST SIDE (79-96),61,1985,99039,Manhattan,189.93
UPPER EAST SIDE (79-96),40,1974,28559,Manhattan,183.58
UPPER EAST SIDE (79-96),165,2007,274377,Manhattan,220.57
UPPER EAST SIDE (79-96),60,1981,59228,Manhattan,209.87
UPPER EAST SIDE (79-96),253,1987,235069,Manhattan,211.18
UPPER EAST SIDE (79-96),19,1920,8600,Manhattan,210.12
UPPER EAST SIDE (79-96),1258,1975,1496819,Manhattan,197.21
UPPER EAST SIDE (79-96),290,1985,391767,Manhattan,179.28
UPPER EAST SIDE (79-96),43,1989,43065,Manhattan,217.11
UPPER EAST SIDE (79-96),22,2007,37488,Manhattan,215.62
UPPER EAST SIDE (79-96),328,1973,331552,Manhattan,191.37
UPPER EAST SIDE (79-96),149,1998,213419,Manhattan,242.87
UPPER EAST SIDE (79-96),,1915,7921,Manhattan,187.86
UPPER EAST SIDE (79-96),27,1925,16350,Manhattan,211.5
UPPER EAST SIDE (79-96),59,2008,106286,Manhattan,233.57
UPPER EAST SIDE (79-96),163,1988,273330,Manhattan,229.65
UPPER EAST SIDE (79-96),14,1915,8345,Manhattan,195.09
UPPER EAST SIDE (79-96),26,1910,13796,Manhattan,187.81
UPPER EAST SIDE (79-96),31,1987,25593,Manhattan,215.61
UPPER EAST SIDE (79-96),154,2000,181821,Manhattan,222.75
UPPER EAST SIDE (79-96),221,1987,220209,Manhattan,226.16
UPPER EAST SIDE (79-96),18,1987,17550,Manhattan,215.61
UPPER EAST SIDE (79-96),108,1989,117992,Manhattan,118.12
UPPER EAST SIDE (79-96),120,2005,180466,Manhattan,217.37
UPPER EAST SIDE (79-96),88,1986,105768,Manhattan,243.96
UPPER EAST SIDE (79-96),45,1935,51750,Manhattan,176.23
UPPER EAST SIDE (79-96),142,1986,167332,Manhattan,233.2
UPPER EAST SIDE (79-96),82,1910,109500,Manhattan,177.89
UPPER EAST SIDE (79-96),197,1963,163567,Manhattan,173.76
UPPER EAST SIDE (79-96),128,1999,112798,Manhattan,202.05
UPPER EAST SIDE (79-96),91,1986,81223,Manhattan,184.14
UPPER EAST SIDE (79-96),163,1964,103108,Manhattan,156.54
UPPER EAST SIDE (79-96),68,1981,137403,Manhattan,206.66
UPPER EAST SIDE (79-96),16,1925,18290,Manhattan,208.53
UPPER EAST SIDE (79-96),82,1988,118052,Manhattan,206.66
UPPER EAST SIDE (79-96),32,1910,12888,Manhattan,208.57
UPPER EAST SIDE (79-96),40,1999,119396,Manhattan,235.85
UPPER EAST SIDE (79-96),97,2005,268404,Manhattan,225.85
HARLEM-CENTRAL,129,2003,163480,Manhattan,95.2
HARLEM-CENTRAL,248,2006,395140,Manhattan,95.2
HARLEM-CENTRAL,240,1999,312016,Manhattan,93.62
UPPER EAST SIDE (96-110),60,1924,108700,Manhattan,198.81
UPPER EAST SIDE (96-110),9,2005,29100,Manhattan,168.21
UPPER EAST SIDE (96-110),51,1928,120464,Manhattan,188.11
UPPER EAST SIDE (96-110),59,1925,63284,Manhattan,143.61
UPPER EAST SIDE (96-110),11,2003,7742,Manhattan,138.34
HARLEM-EAST,17,2007,17666,Manhattan,51.45
HARLEM-EAST,63,2007,71948,Manhattan,60.36
HARLEM-EAST,55,2009,43516,Manhattan,33.17
HARLEM-EAST,152,2003,109646,Manhattan,145.99
HARLEM-EAST,13,2004,6342,Manhattan,187.8
HARLEM-EAST,17,1920,9590,Manhattan,94.37
HARLEM-EAST,17,1920,9590,Manhattan,94.37
HARLEM-EAST,11,2006,12184,Manhattan,203.3
HARLEM-EAST,12,1910,7690,Manhattan,106.11
HARLEM-EAST,68,2006,65699,Manhattan,139.85
HARLEM-EAST,22,2007,35435,Manhattan,145
HARLEM-EAST,19,2007,26231,Manhattan,143.61
HARLEM-EAST,17,1987,22626,Manhattan,17.59
HARLEM-EAST,263,2005,241417,Manhattan,234.13
HARLEM-EAST,215,2005,184939,Manhattan,208.87
HARLEM-EAST,10,1910,6504,Manhattan,121
HARLEM-EAST,22,2003,25721,Manhattan,178.14
HARLEM-EAST,12,1910,12222,Manhattan,143.59
HARLEM-EAST,233,2003,315656,Manhattan,156.4
HARLEM-EAST,12,1900,6092,Manhattan,111.29
HARLEM-EAST,41,2007,32660,Manhattan,138.33
HARLEM-EAST,36,1929,33280,Manhattan,132.66
HARLEM-EAST,33,1926,46998,Manhattan,99.45
HARLEM-EAST,28,2007,25174,Manhattan,197.78
HARLEM-EAST,31,2006,32483,Manhattan,197.8
HARLEM-EAST,35,2007,38481,Manhattan,139.84
HARLEM-EAST,20,2004,22295,Manhattan,197.8
HARLEM-EAST,9,2005,10833,Manhattan,182.22
HARLEM-EAST,15,2007,21472,Manhattan,158.3
HARLEM-CENTRAL,36,1909,40987,Manhattan,74.63
HARLEM-CENTRAL,24,1900,27073,Manhattan,74.65
HARLEM-CENTRAL,23,2005,32150,Manhattan,113.09
HARLEM-CENTRAL,21,1920,24795,Manhattan,37.4
HARLEM-CENTRAL,77,2005,131237,Manhattan,148.86
HARLEM-CENTRAL,5,1900,8800,Manhattan,68.07
HARLEM-CENTRAL,5,1900,8320,Manhattan,68.03
HARLEM-CENTRAL,5,1900,8640,Manhattan,68.06
HARLEM-CENTRAL,34,1898,28408,Manhattan,83.25
HARLEM-CENTRAL,4,1881,5224,Manhattan,93.42
HARLEM-CENTRAL,12,2004,15230,Manhattan,118.78
HARLEM-CENTRAL,125,2007,120394,Manhattan,95.2
HARLEM-CENTRAL,92,2003,97592,Manhattan,158.31
HARLEM-CENTRAL,56,2009,51845,Manhattan,150.16
HARLEM-CENTRAL,49,2007,53079,Manhattan,114.89
HARLEM-CENTRAL,158,2007,312279,Manhattan,149.26
HARLEM-CENTRAL,12,2005,12000,Manhattan,207.67
HARLEM-CENTRAL,18,2004,15023,Manhattan,207.68
HARLEM-CENTRAL,13,2007,24731,Manhattan,158.3
HARLEM-CENTRAL,13,2008,13879,Manhattan,163.92
HARLEM-CENTRAL,25,2004,40418,Manhattan,158.32
HARLEM-EAST,28,2006,35526,Manhattan,207.65
HARLEM-EAST,11,1900,14440,Manhattan,106.58
HARLEM-EAST,11,2006,16737,Manhattan,158.33
HARLEM-EAST,16,1900,12090,Manhattan,61.51
HARLEM-EAST,20,2008,16136,Manhattan,178.17
HARLEM-EAST,11,2007,12026,Manhattan,146.68
HARLEM-EAST,12,2006,9745,Manhattan,158.34
HARLEM-CENTRAL,35,1910,36637,Manhattan,95.2
HARLEM-CENTRAL,17,1900,22039,Manhattan,95.19
HARLEM-CENTRAL,85,2006,94012,Manhattan,167.1
HARLEM-CENTRAL,24,1915,24090,Manhattan,158.03
HARLEM-CENTRAL,54,1915,58429,Manhattan,73.99
HARLEM-CENTRAL,15,1900,18567,Manhattan,74.65
HARLEM-CENTRAL,32,2006,57450,Manhattan,95.2
HARLEM-CENTRAL,35,1911,48636,Manhattan,95.2
HARLEM-CENTRAL,24,1900,18540,Manhattan,95.2
HARLEM-CENTRAL,14,1900,18448,Manhattan,74.64
HARLEM-CENTRAL,13,1920,23700,Manhattan,74.64
HARLEM-CENTRAL,13,1900,6866,Manhattan,95.25
HARLEM-CENTRAL,14,1900,6846,Manhattan,127.58
HARLEM-CENTRAL,35,2006,66215,Manhattan,95.21
HARLEM-CENTRAL,33,1900,28560,Manhattan,134.36
HARLEM-CENTRAL,15,2005,20184,Manhattan,95.22
HARLEM-CENTRAL,38,2008,42068,Manhattan,26.8
HARLEM-CENTRAL,20,1900,7852,Manhattan,119.97
HARLEM-CENTRAL,36,2007,49200,Manhattan,95.2
MANHATTAN VALLEY,20,1900,13885,Manhattan,113.07
MANHATTAN VALLEY,414,1961,390628,Manhattan,57.73
MANHATTAN VALLEY,413,1961,390628,Manhattan,57.73
MANHATTAN VALLEY,414,1960,390628,Manhattan,57.73
MANHATTAN VALLEY,414,1960,390628,Manhattan,57.73
MANHATTAN VALLEY,56,2007,53985,Manhattan,167.62
MANHATTAN VALLEY,132,2007,127758,Manhattan,302.77
MANHATTAN VALLEY,88,1902,88060,Manhattan,119.37
MANHATTAN VALLEY,60,1941,47400,Manhattan,82.15
MANHATTAN VALLEY,61,1941,48500,Manhattan,112.27
MANHATTAN VALLEY,77,1986,87732,Manhattan,137.13
MANHATTAN VALLEY,20,1910,20670,Manhattan,81.96
MANHATTAN VALLEY,98,2002,220057,Manhattan,135.07
MANHATTAN VALLEY,99,1929,115824,Manhattan,69.9
MANHATTAN VALLEY,11,1900,9215,Manhattan,131.85
MANHATTAN VALLEY,56,1929,38255,Manhattan,102.26
MANHATTAN VALLEY,342,1989,341224,Manhattan,127.13
MANHATTAN VALLEY,267,1986,281819,Manhattan,127.12
MANHATTAN VALLEY,25,2005,50523,Manhattan,127.13
MANHATTAN VALLEY,12,2007,12499,Manhattan,108.65
MANHATTAN VALLEY,15,2004,21583,Manhattan,99.48
MANHATTAN VALLEY,14,1900,24987,Manhattan,67.92
MANHATTAN VALLEY,73,2007,152994,Manhattan,116.14
UPPER WEST SIDE (96-116),207,1988,276305,Manhattan,159.92
UPPER WEST SIDE (96-116),359,2008,362220,Manhattan,161.87
UPPER WEST SIDE (96-116),100,2008,77882,Manhattan,317.18
UPPER WEST SIDE (96-116),56,1990,39543,Manhattan,113.09
UPPER WEST SIDE (96-116),25,1920,35792,Manhattan,12.69
UPPER WEST SIDE (96-116),302,1983,358000,Manhattan,129.66
UPPER WEST SIDE (96-116),56,1901,80242,Manhattan,133.91
UPPER WEST SIDE (96-116),61,1914,97950,Manhattan,118.98
UPPER WEST SIDE (96-116),166,1923,267321,Manhattan,124.09
UPPER WEST SIDE (96-116),31,1920,49780,Manhattan,143.61
UPPER WEST SIDE (96-116),79,1911,163616,Manhattan,106.07
UPPER WEST SIDE (96-116),32,1912,32752,Manhattan,185.27
UPPER WEST SIDE (96-116),68,2006,152422,Manhattan,205.41
UPPER WEST SIDE (96-116),64,2005,132905,Manhattan,205.41
UPPER WEST SIDE (96-116),345,1927,221974,Manhattan,129.66
UPPER WEST SIDE (96-116),46,1930,33324,Manhattan,143.59
UPPER WEST SIDE (96-116),64,2004,133872,Manhattan,169
UPPER WEST SIDE (96-116),148,1920,107102,Manhattan,140
UPPER WEST SIDE (96-116),36,1911,59769,Manhattan,159.58
UPPER WEST SIDE (96-116),49,1900,55578,Manhattan,159.58
UPPER WEST SIDE (96-116),56,1920,70493,Manhattan,159.51
UPPER WEST SIDE (96-116),55,2005,79805,Manhattan,158.31
UPPER WEST SIDE (96-116),135,1930,147648,Manhattan,110.93
UPPER WEST SIDE (96-116),71,1990,46573,Manhattan,138.34
UPPER WEST SIDE (96-116),61,1920,90386,Manhattan,59.63
UPPER WEST SIDE (96-116),33,1910,39500,Manhattan,92.84
UPPER WEST SIDE (96-116),33,1940,45120,Manhattan,130.98
UPPER WEST SIDE (96-116),76,1920,116255,Manhattan,67.04
UPPER WEST SIDE (96-116),106,1928,195971,Manhattan,110.3
UPPER WEST SIDE (96-116),53,1920,132377,Manhattan,71.47
UPPER WEST SIDE (96-116),137,1920,165106,Manhattan,125.82
UPPER WEST SIDE (96-116),67,1922,103749,Manhattan,89.74
UPPER WEST SIDE (96-116),151,1926,192853,Manhattan,110.38
UPPER WEST SIDE (96-116),46,1911,63300,Manhattan,115.32
HARLEM-CENTRAL,28,2004,52916,Manhattan,95.21
HARLEM-CENTRAL,23,2004,37719,Manhattan,95.2
HARLEM-CENTRAL,25,1910,44329,Manhattan,73.27
HARLEM-CENTRAL,21,1906,46991,Manhattan,95.21
HARLEM-CENTRAL,26,2008,28300,Manhattan,158.45
HARLEM-CENTRAL,19,2007,29315,Manhattan,95.21
HARLEM-CENTRAL,48,2007,54628,Manhattan,113.09
HARLEM-CENTRAL,11,2007,8195,Manhattan,113.12
HARLEM-CENTRAL,12,1910,11436,Manhattan,117.61
HARLEM-CENTRAL,16,1910,15210,Manhattan,82.45
HARLEM-CENTRAL,47,1892,87400,Manhattan,95.21
HARLEM-CENTRAL,64,2003,63252,Manhattan,95.21
HARLEM-CENTRAL,74,2003,59844,Manhattan,95.2
HARLEM-CENTRAL,22,2004,19500,Manhattan,95.18
HARLEM-CENTRAL,6,1910,7739,Manhattan,113.84
HARLEM-CENTRAL,6,1910,6601,Manhattan,113.48
HARLEM-CENTRAL,89,2008,109191,Manhattan,161.99
HARLEM-CENTRAL,10,1900,14160,Manhattan,95.13
HARLEM-CENTRAL,44,2008,55379,Manhattan,105.06
HARLEM-CENTRAL,11,1910,25230,Manhattan,95.2
HARLEM-CENTRAL,12,2008,9741,Manhattan,209.32
HARLEM-CENTRAL,32,1994,35082,Manhattan,75.37
HARLEM-CENTRAL,36,1933,38386,Manhattan,75.37
HARLEM-CENTRAL,41,1900,45436,Manhattan,95.21
HARLEM-CENTRAL,95,2005,147404,Manhattan,59.48
HARLEM-CENTRAL,49,1931,63586,Manhattan,106.63
HARLEM-CENTRAL,48,2003,108510,Manhattan,95.21
HARLEM-CENTRAL,123,2004,99275,Manhattan,105.8
HARLEM-CENTRAL,93,2006,108572,Manhattan,95.2
HARLEM-CENTRAL,54,2006,67413,Manhattan,95.2
HARLEM-CENTRAL,125,2007,117030,Manhattan,78.7
HARLEM-CENTRAL,74,2003,93600,Manhattan,95.2
HARLEM-CENTRAL,52,2006,70212,Manhattan,95.2
HARLEM-CENTRAL,39,2009,42760,Manhattan,54.69
HARLEM-CENTRAL,15,1910,23765,Manhattan,82.39
HARLEM-CENTRAL,170,2003,240000,Manhattan,95.2
HARLEM-CENTRAL,28,1994,41964,Manhattan,75.35
HARLEM-WEST,13,2002,21862,Manhattan,95.19
HARLEM-WEST,29,2006,31308,Manhattan,95.22
MORNINGSIDE HEIGHTS,48,1926,37103,Manhattan,74.63
HARLEM-CENTRAL,32,1910,23822,Manhattan,95.21
HARLEM-CENTRAL,10,2008,11928,Manhattan,95.15
HARLEM-CENTRAL,28,1993,30976,Manhattan,75.35
HARLEM-CENTRAL,29,1926,30584,Manhattan,102.86
HARLEM-CENTRAL,104,1920,143389,Manhattan,95.2
HARLEM-CENTRAL,28,1994,36188,Manhattan,92.24
HARLEM-CENTRAL,14,1894,18306,Manhattan,95.21
HARLEM-CENTRAL,47,1896,76584,Manhattan,82.03
HARLEM-CENTRAL,128,2003,212047,Manhattan,95.21
HARLEM-CENTRAL,26,1920,35390,Manhattan,74.65
HARLEM-CENTRAL,180,2005,204835,Manhattan,95.2
HARLEM-CENTRAL,135,2005,164085,Manhattan,95.2
HARLEM-CENTRAL,134,2007,161156,Manhattan,95.21
HARLEM-CENTRAL,77,2001,91858,Manhattan,95.2
HARLEM-UPPER,38,1926,25050,Manhattan,105.63
HARLEM-UPPER,6,1920,6390,Manhattan,74.49
HARLEM-UPPER,20,1920,17565,Manhattan,74.64
HARLEM-UPPER,12,2005,12000,Manhattan,95.17
HARLEM-UPPER,54,1908,30886,Manhattan,74.63
HARLEM-UPPER,64,1907,43135,Manhattan,74.65
HARLEM-UPPER,25,1926,24132,Manhattan,74.63
HARLEM-UPPER,35,1920,30441,Manhattan,74.64
HARLEM-UPPER,50,1913,86020,Manhattan,74.65
HARLEM-UPPER,36,1920,38578,Manhattan,42.77
HARLEM-UPPER,49,2005,67805,Manhattan,110.54
HARLEM-UPPER,74,1912,107100,Manhattan,74.64
WASHINGTON HEIGHTS LOWER,13,2008,22052,Manhattan,128.24
WASHINGTON HEIGHTS LOWER,48,1920,52476,Manhattan,65.33
WASHINGTON HEIGHTS LOWER,93,1930,97650,Manhattan,47.86
WASHINGTON HEIGHTS LOWER,53,1900,58230,Manhattan,29.09
WASHINGTON HEIGHTS LOWER,41,1920,51426,Manhattan,55.96
WASHINGTON HEIGHTS UPPER,113,1969,109752,Manhattan,79.9
WASHINGTON HEIGHTS UPPER,79,1937,101844,Manhattan,107.89
WASHINGTON HEIGHTS UPPER,72,1928,72986,Manhattan,54.56
WASHINGTON HEIGHTS UPPER,20,2002,22838,Manhattan,130.97
WASHINGTON HEIGHTS UPPER,65,1950,55522,Manhattan,74.64
WASHINGTON HEIGHTS UPPER,56,2003,75765,Manhattan,113.09
INWOOD,89,1925,76970,Manhattan,43.38
INWOOD,12,2006,10950,Manhattan,80.73
DOWNTOWN-FULTON FERRY,124,1913,227916,Brooklyn,104.25
DOWNTOWN-FULTON FERRY,13,2001,24672,Brooklyn,95.09
DOWNTOWN-FULTON FERRY,69,2006,78352,Brooklyn,108.33
DOWNTOWN-FULTON FERRY,58,1904,52530,Brooklyn,76.2
DOWNTOWN-FULTON FERRY,13,2007,20085,Brooklyn,104.95
DOWNTOWN-FULTON FERRY,87,1910,158053,Brooklyn,100.75
DOWNTOWN-FULTON FERRY,21,1910,23150,Brooklyn,125.1
DOWNTOWN-FULTON FERRY,31,1899,41476,Brooklyn,104.76
DOWNTOWN-FULTON FERRY,259,1916,375000,Brooklyn,68.86
DOWNTOWN-FULTON FERRY,56,2006,58066,Brooklyn,104.12
DOWNTOWN-FULTON FERRY,79,2006,87554,Brooklyn,116.93
DOWNTOWN-FULTON FERRY,266,2006,301131,Brooklyn,116.93
DOWNTOWN-FULTON FERRY,37,1920,35464,Brooklyn,113.07
DOWNTOWN-FULTON FERRY,31,2006,35389,Brooklyn,106.42
DOWNTOWN-METROTECH,59,,54200,Brooklyn,134.78
